GEOID,Popln_2017,Popln_2018,Popln_2019,Popln_2020,Popln_2021,Popln_2022,Popln_2023,Popln_2024
56025,79547.0,79115.0,79858.0,80815.0,79382.0,79506.0,79735.0,80410.0
56027,2397.0,2388.0,2422.0,2275.0,2486.0,2460.0,2415.0,2301.0
56029,29189.0,29324.0,29194.0,29331.0,29664.0,29878.0,30109.0,31082.0
56031,8561.0,8566.0,8393.0,8578.0,8607.0,8618.0,8606.0,8512.0
56033,30147.0,30219.0,30485.0,30863.0,30812.0,31176.0,31585.0,32978.0
56035,9759.0,9813.0,9831.0,9856.0,8830.0,8801.0,8806.0,8965.0
56037,43464.0,42858.0,42343.0,42673.0,42459.0,42079.0,41786.0,41273.0
56039,23384.0,23269.0,23464.0,23497.0,23319.0,23346.0,23358.0,23272.0
56041,20431.0,20292.0,20226.0,20215.0,20514.0,20546.0,20605.0,20621.0
56043,8035.0,7885.0,7805.0,7760.0,7768.0,7725.0,7708.0,7662.0
56045,6968.0,6924.0,6927.0,6743.0,6891.0,6870.0,6835.0,6866.0
