County,GEOID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,Cases_2019,2019_population,Cases_2019_normalized
Fayette,17051.0,-0.0739073212944999,0.0407180326174581,-0.0042480701740385,-0.1093861810192129,0.0292702640841459,-0.0506560352107092,0.0715523699107903,0.0785624557534553,0.0292877293339703,-0.1180509046576459,0.0617652644453198,-0.0707425811535727,-0.0389378066158193,0.0318863507125164,-0.1586650557539544,0.0269453034270916,-0.2000266572001661,0.0250041138186397,-0.1269701089930627,0.0386298717340453,-0.0629880439130444,0.0277400847738178,0.0138002113264591,-0.0181032076213022,-0.0406772892349028,0.1832958826123649,-0.0796918837222801,-0.0623181734466157,0.0425847942371159,-0.0530511935887495,-0.1379316823085004,-0.0599275797072551,0.0616813179340206,-0.0200354181167458,-0.0559047693731191,-0.0910307143296914,-0.0535492400885756,-0.1711466184116168,0.1058470681583263,-0.0620090617769903,0.0040377682630562,0.0746049231140321,0.2223865974441532,-0.1390333914479534,-0.0252499399891425,0.0802836279422934,0.176375039842352,-0.0510695564892396,0.1684908076214685,-0.0639208049506565,-0.0329410517816837,0.0485430004469498,-0.1106279087675891,0.0467021639969307,0.1372707218352306,0.2035186367348511,-0.0442662968402767,0.1129232604317939,0.0112660416880954,-0.0593231558555829,-0.1198906619866791,-0.1409968594947086,-0.1393480746575303,0.0343312852531498,0.0,21336.0,0.0
Ford,17053.0,-0.0382282515998905,0.0030641581040202,0.040867396177487,-0.1683214827359646,-0.001273391879942,-0.0567993605455583,0.0010920146118416,0.0623760124200694,0.0677935200153707,-0.1746368647975885,0.0297160418119107,-0.0032132285557024,0.04450290178364,0.0689620257399398,-0.140140788576074,-0.0225802425119947,-0.1667732520511042,0.0615775688728903,-0.1065351091134385,0.0431058931181195,-0.068317888308483,0.0464656900140448,0.0322939328979842,0.006028363972706,-0.1377302025724603,0.202085533771791,0.0814413025710661,0.0119923139368579,0.0407118506589468,-0.1446260287388731,-0.1319047545219646,-0.1053598874072361,0.0117678797983018,-0.0178804299155905,-0.0272692009333287,-0.0849071513839532,-0.0512327455924886,-0.0343398809606769,0.1800940183787166,-0.0282653348559405,-0.0128784444832589,0.0872996234611409,0.1932850291723552,-0.2396564219088811,-0.053933601649294,0.0686346982841471,0.1671174431417627,-0.1046992104290888,0.1267854793928916,-0.0288866268005744,0.0866480432003174,0.0458174545709587,-0.178358771833042,-0.0007266657275874,0.1772920192075244,0.2085676991188876,-0.0824722625251853,0.0642525344572472,0.0156410459446566,-0.2059414629561887,-0.1119010669831959,-0.0643096417631443,-0.1239193637710004,0.0825010723768678,0.0,12961.0,0.0
Franklin,17055.0,-0.0943061641285524,-0.0078342295264846,-0.0123840904861391,-0.0665601043054889,0.036438826079013,-0.0160577471828313,0.0805945927972099,0.0487263829273406,0.0116538587720255,-0.1104264560260262,0.0443878373459211,-0.0816363415202722,-0.0796394051137251,0.0133285519466885,-0.1352171377069575,0.0395629444885542,-0.1870594017262236,0.0160917107977698,-0.1281092093753008,0.0436183663427022,-0.0615735650532681,0.0311821614084111,-0.0255868644190517,-0.0026060735024919,-0.0343265802347834,0.1581623408483233,-0.1058668402713649,-0.1117549955272462,0.0470768560970425,-0.0054320296613005,-0.1316397743611238,-0.0503823094806684,0.0677646572742171,-0.0363996448554395,-0.1022779486020902,-0.1194509012055261,-0.0677264192125855,-0.2039572055157761,0.0734060716114168,-0.050022935714567,-0.0038534588459245,0.0577469305578508,0.2304348659463782,-0.086213462699718,0.0084277373026769,0.0740606665490013,0.1253428808380016,-0.0444746480021001,0.1728937106570755,-0.0804989163113097,-0.0817340277798031,0.0352797263380925,-0.0904891380147492,0.0697534009750279,0.1234932296704273,0.1948056890626122,-0.0698580561696295,0.1144114484376504,0.0294213373103823,-0.0376397279253344,-0.1135272202500893,-0.147358193017789,-0.128092404155495,0.0561709344840487,1.0,38469.0,2.5994956978346204
Fulton,17057.0,-0.0604454393867252,0.0317143420234278,0.0405998450472457,-0.0995825343438677,0.0386851800506894,-0.0747704696627808,0.0353473657100042,0.1030402888839404,0.0546365561824597,-0.069551486137155,0.0368435326277852,-0.0800261058518308,-0.0351774325205331,0.0656582748212546,-0.1828457294394155,0.0335331166005951,-0.1797160347234898,0.0394579721006184,-0.1628885903215994,0.0375520255683309,-0.0380883470870844,-0.0203103269656503,-0.0097493382266599,-0.020155029863695,-0.0270433675634105,0.1469853553774206,-0.1041773302778079,-0.0633199028580476,0.0947902265032717,-0.0807566934969908,-0.1115532961007313,-0.0058560572327708,0.025324797811489,-0.0755849466185768,-0.0470156911589394,-0.0457933377542713,-0.0398332566605852,-0.1458248641338499,0.1016652643865728,-0.0470038963552283,-0.025981284864492,0.0530530810503196,0.170758206558415,-0.1321221583566485,-0.0428304926901296,0.064011142641418,0.2094941477842999,-0.0580928977068336,0.1342176278497547,-0.0607585949793854,-0.0114599200913025,0.0267737398481076,-0.1106725818412924,0.0621988859521673,0.1168473876960569,0.1943799164278613,-0.005625104967781,0.0924775979029872,0.0014364762633084,-0.0518061694026078,-0.135345892761881,-0.1736660183954367,-0.1666484471603242,0.0496714326119025,0.0,34340.0,0.0
Gallatin,17059.0,-0.0687929424928437,-0.0066083659272313,-0.0174009084462099,-0.0817653327079888,0.0228417680776925,-0.0534409777287896,0.0909571534825151,0.0701081372935235,0.0192124742801672,-0.1324257088444077,0.0843311672522587,0.0007274577838889,-0.0529110812560426,0.0281416717115505,-0.1062750473485717,0.0050705106145473,-0.190687987826996,0.0081107289406916,-0.1226058595316405,-0.0095427836408659,-0.0468120724830809,0.0332408467241592,-0.0412568469343471,0.0197804453674683,-0.0416129119555412,0.1713531809117854,-0.0340122871150825,-0.0140995466444402,-0.0214222833702203,-0.0600278543354603,-0.117222223084236,-0.0879292361533289,0.0626316381441742,0.0030975691819077,-0.0540450230962489,-0.1290262910478862,-0.0536244956175227,-0.1420141335947319,0.106817746019662,-0.0398885527839883,-0.0144606697083791,0.0762025524137648,0.2400390358852089,-0.1551885451497511,-0.0295920135423794,0.054366468943603,0.1630265726909919,-0.0763465252024505,0.1901119974158624,-0.0517518028743079,-0.0401198730324667,0.0450509219326579,-0.1326065920541626,0.0338000038831661,0.1523268666321404,0.1972837676667849,-0.0465004654361443,0.0814341166521934,0.0304793545538666,-0.1076381881872979,-0.0894429307204003,-0.1274487621118303,-0.1253245416909812,0.067602456786288,0.0,4828.0,0.0
Greene,17061.0,-0.0839154747846161,0.0292851976253979,0.0284695844023438,-0.0967978700209012,0.0186939296438375,-0.0794736387903819,0.0420853665212279,0.0983384865958334,0.0489282583724488,-0.1166867729635172,0.0483896031007509,-0.0360467921182544,-0.013888020901786,0.0577881216761524,-0.1468906117114558,0.0184598796684096,-0.1807002856112007,0.0365036254906199,-0.1271661464559802,0.0352590033404189,-0.0571815028092695,0.0119208137018489,0.0087509288598435,0.012453098677327,-0.0316797414512369,0.1488957624807356,-0.0876428984397518,-0.0468161059083476,0.0426076077492857,-0.090346516686838,-0.1320932082078003,-0.0517718751666409,0.0381851975670568,-0.0339553989118217,-0.0554453666926185,-0.0489944418872739,-0.0716338383723811,-0.127221595185207,0.127392806717366,-0.0545058613289128,-0.0018364398160732,0.072588525301951,0.1919132566805128,-0.1639475597610222,-0.0569524278588766,0.0517976927504788,0.2031957554954543,-0.05374331570342,0.1502512308497482,-0.060828090171256,-0.0033306805450698,0.0382243603681447,-0.1370701599778235,0.048300367798794,0.1508769861066587,0.1922193610970231,-0.0407810711850853,0.107558285436501,-0.0164148382604122,-0.0814965189744704,-0.1374493035242275,-0.1455703431479289,-0.155018688043641,0.0428900651735919,0.0,12969.0,0.0
Grundy,17063.0,-0.0200102848975291,0.0013983178214625,0.0498938697021894,-0.1396152912883481,0.0055616704638741,-0.0225550025605329,0.0068332204311481,0.0466828796204156,0.0762340619684784,-0.1000001114983796,0.0210135291191579,-0.0607305579126925,0.0222752326772094,0.0739917706950485,-0.2089249251135803,-0.0428018217792821,-0.1749653863865159,0.0265069147633145,-0.1191827162927465,0.0379843726764941,-0.0640998136163628,0.0150660628388125,-0.0312441903304453,-0.0524633818647934,-0.1243240455104383,0.2057875669170461,0.0617098761753636,-0.0312503977830551,0.0873356790112619,-0.0605179210413046,-0.0903250665728576,-0.0583807633952474,-0.0112877741982791,-0.0619408119895627,-0.0578995229765039,-0.0475574693698749,-0.010320549699,-0.0882725438613318,0.1693705911233207,-0.0272092612603017,-0.0297283708712314,0.0773413535123148,0.1829522679199776,-0.2068393204913254,0.0063156425011763,0.0817540163724687,0.1584887792169033,-0.0862054421564762,0.0990668199456618,-0.0586054211976591,0.0228623741767932,0.0260602064677943,-0.1383185358427279,-0.0041043122657783,0.1538217787447217,0.1909420651926139,-0.0574846888632024,0.0318758663608995,0.0469258527807458,-0.1618808348335604,-0.1095768567216281,-0.117056964160717,-0.1190346310953677,0.0887576830617963,0.0,51054.0,0.0
Hamilton,17065.0,-0.0919034215752218,0.039408563933604,0.0022481994431946,-0.0753895844892888,0.0311065695614185,-0.0073748950099758,0.1005408799488088,0.0607561524277166,0.0420292537270328,-0.1143075367049357,0.0344210559936109,-0.0388574159673567,-0.0712176447106694,0.0414030112873556,-0.1328263333919968,0.0213907680272637,-0.2014119475593286,0.033188775880625,-0.1101552314252775,0.0155301591099695,-0.063637159067495,0.0331593180448394,-0.0214417860652159,-0.0133208731661447,-0.0377742087655096,0.1748497275202856,-0.09818592714717,-0.0816340823328768,0.0292115982011054,-0.0286569689944383,-0.1204248454473898,-0.0523885241775644,0.0747712860831199,-0.0276705410274959,-0.0786979502841396,-0.103681402837022,-0.0665522841789166,-0.2017372391259612,0.0941559076510302,-0.0493748531014343,0.0184017507804261,0.0740190757732636,0.2299621789305247,-0.1310013089114392,-0.0074868460148826,0.0511272912873901,0.1586549603510891,-0.0535118770600854,0.1766843907043106,-0.0580916923859199,-0.0530630897575998,0.0301520354408512,-0.0967403141317361,0.0523082180345775,0.1302332478872114,0.1974000031811336,-0.0707837365496571,0.1011886292004096,0.0201919939553749,-0.0675436613088875,-0.1220961922614007,-0.1416165673692278,-0.1356534343606658,0.0401576033000596,0.0,8116.0,0.0
Hancock,17067.0,-0.0545734348963142,0.0277998628973856,0.0407110417433954,-0.1424835069040142,0.0321675938012111,-0.0574103868558811,0.0338911981295506,0.0821143511345781,0.0277891831780198,-0.1062177350665455,0.0278468473026388,-0.0634492067786466,-0.0316453342157465,0.0753560075540857,-0.1658115642986689,0.0538786229465467,-0.169259131316422,0.0507252930921531,-0.1316116372195792,0.0552071172692523,-0.0592422046853998,-0.0040871591382365,0.017104115109421,-0.0023082985989631,-0.0444761759423981,0.1579891008497092,-0.0720350769744547,-0.0574840594541894,0.0793189567867799,-0.1140965538872061,-0.1333556693071284,-0.0206451324958483,0.0354595406831697,-0.0570697491991327,-0.0553550147450425,-0.0620488927253979,-0.0502906037231563,-0.1246631303089504,0.1034166292065921,-0.0456096628330918,0.0008256281718897,0.0697502806068769,0.1637091091476792,-0.1498879207464848,-0.0439591780364143,0.0497531482535096,0.2054804733266435,-0.0551524013485447,0.1319021683438663,-0.0337479333649673,0.0269408209585941,0.0148675324777741,-0.1221044515087052,0.0571376651345003,0.114082055833445,0.2004546743097595,-0.0480581575113951,0.0852472190134324,0.013036376374948,-0.0594026805008213,-0.147101629824832,-0.1346157881520169,-0.1589589279946485,0.0595938330812657,0.0,17708.0,0.0
Hardin,17069.0,-0.1001023630167333,0.0361666844714071,-0.0366692526500791,0.0422264737431516,0.0562999251217132,-0.0953633360370318,0.0528691796535725,0.1149690954015365,0.1047934232631024,-0.0497761844815113,0.0711419867324589,-0.062294195258995,-0.1252790123689874,-0.0583328174432868,-0.1349247218541464,0.1157930995438461,-0.121276351550873,0.0367350615273041,-0.1725707922028415,-0.016640415971272,-0.0008282088281925,0.0659891680167241,-0.094180327896653,0.0637911935633106,0.0946439148043662,0.0906905659991663,-0.206782419740525,-0.1355433595362098,0.008635863368963,0.0789702962654448,-0.1012904349728277,0.0366434262295547,0.0110795772456474,-0.0423506939505454,-0.0332586593894652,-0.1043801857078231,-0.1472393767094175,-0.2368797210037878,0.0373726340700549,-0.1271949856188506,-0.0144098383567249,0.0538329969062091,0.2465605115461273,-0.0679643450691497,0.032369239316986,0.0662984834106078,0.1466624457982042,-0.1359318727410931,0.1763007047701781,-0.1032771838274721,-0.1018909009081969,0.0364857561254247,-0.0666976179057895,0.146576252222765,0.0879443693804542,0.1930458520412921,0.0192404195905629,0.1195403215101699,0.022174010726683,0.0107831568218914,-0.0673115694292465,-0.15433939625799,-0.1283758229628208,0.0232107774780748,0.0,3821.0,0.0
Henderson,17071.0,-0.0542849279856534,0.000494389596355,0.0426751787048957,-0.1264471151892818,0.0117118509283248,-0.0688658565806185,0.0101418102160841,0.0985363575893593,0.045984132487153,-0.0925576358043415,0.0239503206604747,-0.0486508298013939,0.0082870704014015,0.0823479204339636,-0.1677062642471643,0.0131368207437746,-0.1828036306007067,0.0337022026450382,-0.1359033438312126,0.0305718404001092,-0.0514345182552534,-0.0312833399059725,-0.0018366916746927,-0.000542331950681,-0.0629960463375361,0.160056033424378,-0.0372148081328227,-0.033791712263889,0.0847370912444308,-0.1110848416177491,-0.1174608632978728,-0.0156504561962148,0.0069926123493249,-0.0731872716670125,-0.0527979445239995,-0.0174873677692544,-0.0382513789494325,-0.1002653268603753,0.1216544942634926,-0.0442936186399042,-0.0233786936541071,0.065662037766394,0.1560138868658702,-0.1766155770876964,-0.0516689041575868,0.0639035897191472,0.2019221077582991,-0.065947868053588,0.1024967817997545,-0.0578133090162437,0.0283843541816166,0.0401684234480598,-0.1246649898330839,0.0416946694345635,0.131226014530751,0.1849988822958452,-0.0252424069773674,0.0777582591855491,0.003667254177163,-0.0880564250028356,-0.1371745811582764,-0.1475750337499735,-0.1463161539345264,0.0735557617202532,0.0,6646.0,0.0
