,County,County,2023,Cases_2023,Hum_23,Pre_23,Tmax_23,Tmin_23,LSTMean_2023,WS_23,Chlorophyll_2023,Ag_MEAN_2023,Fs_MEAN_2023,Rn_MEAN_2023,Cases_normalized_2023
63,Massac,Massac,13751,0,94.6823892,4.125706971,29.70305801,17.85779503,24.435000000000002,2.924090369,1.561960752,0.82,0.83,0.8,0.0
64,Menard,Menard,11996,0,84.84210726,2.384415541,28.80640075,16.15913401,23.340000000000003,3.599317795,1.82875378,0.82,0.82,0.79,0.0
65,Mercer,Mercer,15456,0,84.43669178,2.867657797,28.16884808,15.63248836,22.799999999999997,3.571230992,1.816549211,0.83,0.82,0.72,0.0
66,Monroe,Monroe,35144,0,83.01651002,2.434860835,30.49175519,18.42829716,24.085,3.231916666,1.399968737,0.76,0.79,0.77,0.0
67,Montgomery,Montgomery,27756,0,87.26098767,2.563240304,28.75884097,16.02517668,23.29,3.62060452,1.574422564,0.79,0.81,0.76,0.0
68,Morgan,Morgan,32773,0,86.27269347,2.604434562,28.98745262,15.95188462,23.92,3.634856911,1.707830573,0.8,0.8,0.0,0.0
69,Moultrie,Moultrie,14327,0,85.34327297,2.844201056,28.44667543,16.31748612,23.355,3.538654657,1.653030822,0.8,0.77,0.73,0.0
70,Ogle,Ogle,51391,1,84.04125348,2.428250055,27.1434815,14.53417682,21.615000000000002,3.874493534,1.459786157,0.82,0.8,0.76,1.9458660076667122
71,Peoria,Peoria,178735,3,84.47121793,3.352285043,28.01305878,15.70314106,23.97,3.576583456,1.712045024,0.82,0.81,0.83,1.678462528324055
72,Perry,Perry,20499,0,87.48075819,3.207793397,30.06312985,17.75826414,24.435,2.999889465,1.447288794,0.78,0.78,0.79,0.0
73,Piatt,Piatt,16720,0,85.37521684,3.120877364,28.36174246,16.07506029,0.0,3.460590538,1.863094612,0.83,0.83,0.82,0.0
74,Pike,Pike,14339,0,83.03927196,2.248743262,29.0904659,16.63074751,23.189999999999998,3.551251114,1.91571951,0.79,0.81,0.75,0.0
75,Pope,Pope,3715,0,93.03760148,4.131965449,29.73409336,17.7911399,23.55,2.978374537,1.992274504,0.82,0.86,0.78,0.0
76,Pulaski,Pulaski,4957,0,92.92628804,4.540732084,29.81716821,18.36570465,24.11,2.96544743,1.629204433,0.8,0.83,0.73,0.0
77,Putnam,Putnam,5588,0,85.00371452,3.011237805,27.80889132,15.14809219,22.979999999999997,3.484625556,1.649223008,0.82,0.8,0.69,0.0
78,Randolph,Randolph,29993,0,87.34602221,2.891019687,30.02342454,17.56311819,24.75,3.057572926,1.541771662,0.79,0.8,0.79,0.0
79,Richland,Richland,15502,0,88.44357048,3.038244925,29.44240586,16.76220043,24.085,3.376530054,1.59806366,0.81,0.82,0.77,0.0
80,Rock Island,Rock Island,141939,1,81.67139431,2.65150422,28.13737697,15.86861501,23.14,3.507312908,1.363147744,0.81,0.79,0.79,0.7045280014654182
81,St. Clair,St. Clair,252094,4,82.25987029,2.938244731,30.12224468,18.45313307,25.82,3.137394244,1.292372215,0.79,0.79,0.73,1.586709719390386
82,Saline,Saline,22988,0,90.97087512,2.745258143,30.39397273,17.8032984,24.195,2.988193295,1.521806011,0.8,0.83,0.77,0.0
83,Sangamon,Sangamon,194216,1,85.14306457,2.95704832,28.82184698,16.30976026,24.255,3.581468947,1.585032491,0.8,0.81,0.75,0.5148906372286527
84,Schuyler,Schuyler,6725,0,84.5200953,2.297917631,28.62007176,16.00065687,23.46,3.645983346,1.958634983,0.81,0.83,0.76,0.0
85,Scott,Scott,4850,0,84.43641834,2.078998374,29.05806926,16.35927667,23.18,3.634353278,1.689197221,0.79,0.8,0.77,0.0
86,Shelby,Shelby,20593,0,86.85543969,2.560462349,28.60760551,16.18217315,23.240000000000002,3.593158809,1.582577476,0.8,0.81,0.79,0.0
87,Stark,Stark,5267,0,86.35416033,3.540680224,27.54670381,15.04358678,0.0,3.561535957,1.859397799,0.84,0.83,0.76,0.0
88,Stephenson,Stephenson,43347,1,84.28492713,2.766864358,26.99117541,14.24103602,20.93,3.854657186,1.407779235,0.81,0.78,0.82,2.3069647265093316
89,Tazewell,Tazewell,129835,0,85.94144591,3.181188517,28.57564275,15.59802967,24.765,3.568393638,1.701996519,0.83,0.79,0.72,0.0
90,Union,Union,16866,0,92.5362887,3.480182445,29.63972118,17.80972117,24.215,2.885812138,1.938909263,0.79,0.84,0.78,0.0
91,Vermilion,Vermilion,71551,0,87.54480573,2.513167586,28.2033902,15.26160184,23.215000000000003,3.433240746,1.472458061,0.84,0.83,0.75,0.0
92,Wabash,Wabash,11032,0,89.95420204,3.344341171,29.75556279,17.15615419,23.47,3.08971723,1.570875067,0.78,0.8,0.77,0.0
93,Warren,Warren,16224,0,85.67276177,3.199674806,28.00895345,15.50027688,0.0,3.626040888,1.883948139,0.84,0.83,0.71,0.0
94,Washington,Washington,13570,0,85.84861555,2.947126233,29.82541381,17.68703676,0.0,3.328558217,1.502669248,0.8,0.82,0.77,0.0
95,Wayne,Wayne,15875,0,89.14126057,3.653751131,29.71048493,17.09796805,0.0,3.434734399,1.605560771,0.81,0.81,0.74,0.0
96,White,White,13482,0,92.24131924,2.532102733,29.78723603,17.23621795,23.89,3.135974217,1.525919115,0.82,0.82,0.81,0.0
97,Whiteside,Whiteside,54582,0,82.82983214,2.374838412,27.77222387,15.29525466,22.965000000000003,3.415740142,1.472708355,0.81,0.8,0.0,0.0
98,Will,Will,703383,4,87.01906686,3.472278779,27.12407289,14.94231227,24.54,3.475864573,1.130060229,0.8,0.75,0.0,0.568680221159738
99,Williamson,Williamson,66737,0,91.05369006,4.186028739,30.15261576,17.83542681,24.535,2.890199746,1.553404377,0.8,0.82,0.0,0.0
100,Winnebago,Winnebago,282214,2,82.81690407,2.648312003,27.05670046,14.64574585,22.515,3.844945771,1.237830385,0.79,0.78,0.0,0.708682063965643
101,Woodford,Woodford,38387,2,87.64557322,3.798921701,28.18021834,15.05194495,23.905,3.569936018,1.871551823,0.85,0.82,0.0,5.210097168312189
