iter	Passed	Remaining
856	4611	6150
857	4617	6146
858	4622	6140
859	4628	6136
860	4634	6130
861	4639	6124
862	4645	6120
863	4651	6115
864	4656	6109
865	4661	6104
866	4666	6098
867	4671	6092
868	4678	6088
869	4683	6082
870	4687	6076
871	4693	6071
872	4698	6065
873	4703	6059
874	4709	6054
875	4713	6048
876	4718	6042
877	4724	6037
878	4730	6032
879	4735	6027
880	4741	6022
881	4747	6017
882	4752	6011
883	4757	6006
884	4763	6001
885	4769	5997
886	4778	5995
887	4785	5992
888	4795	5992
889	4805	5993
890	4814	5992
891	4823	5991
892	4831	5989
893	4838	5986
894	4845	5982
895	4852	5979
896	4860	5976
897	4867	5972
898	4873	5968
899	4880	5965
900	4888	5962
901	4893	5956
902	4898	5950
903	4903	5945
904	4908	5939
905	4913	5932
906	4918	5927
907	4923	5920
908	4928	5914
909	4933	5908
910	4938	5903
911	4943	5897
912	4948	5891
913	4954	5886
914	4959	5880
915	4964	5874
916	4969	5869
917	4975	5864
918	4980	5858
919	4986	5854
920	4993	5849
921	4999	5845
922	5005	5841
923	5013	5838
924	5021	5836
925	5028	5831
926	5035	5828
927	5042	5824
928	5049	5820
929	5055	5817
930	5061	5811
931	5069	5808
932	5075	5804
933	5081	5799
934	5087	5795
935	5093	5790
936	5100	5785
937	5106	5781
938	5112	5776
939	5118	5771
940	5123	5765
941	5128	5759
942	5134	5755
943	5139	5749
944	5144	5743
945	5150	5738
946	5155	5733
947	5160	5727
948	5166	5721
949	5171	5715
950	5176	5709
951	5181	5704
952	5187	5699
953	5193	5693
954	5198	5688
955	5203	5682
956	5208	5676
957	5214	5671
958	5218	5665
959	5223	5658
960	5229	5653
961	5234	5647
962	5239	5642
963	5245	5637
964	5250	5631
965	5255	5625
966	5261	5620
967	5267	5615
968	5272	5609
969	5278	5604
970	5283	5599
971	5288	5593
972	5294	5588
973	5300	5583
974	5305	5577
975	5311	5572
976	5316	5567
977	5322	5561
978	5328	5557
979	5333	5551
980	5338	5545
981	5344	5540
982	5350	5535
983	5355	5529
984	5361	5524
985	5366	5518
986	5372	5513
987	5377	5508
988	5382	5502
989	5387	5496
990	5394	5492
991	5399	5486
992	5404	5481
993	5410	5475
994	5415	5469
995	5420	5464
996	5426	5459
997	5431	5452
998	5436	5447
999	5441	5441
1000	5446	5436
1001	5452	5430
1002	5457	5424
1003	5462	5418
1004	5467	5412
1005	5472	5407
1006	5477	5401
1007	5482	5395
1008	5488	5390
1009	5493	5384
1010	5498	5378
1011	5503	5373
1012	5508	5367
1013	5514	5362
1014	5521	5358
1015	5528	5354
1016	5536	5351
1017	5542	5346
