,FIPS,County,State,Population,X,Y,HC_2002,HC_2003,HC_2004,HC_2005,HC_2006,HC_2007,HC_2008,HC_2009,HC_2010,HC_2011,HC_2012,HC_2013,HC_2014,HC_2015,HC_2016,HC_2017,HC_2018,HC_2019,HC_2020,HC_2021,HC_2022,HC_2023,HC_2024,HC_2002_per_100k,HC_2003_per_100k,HC_2004_per_100k,HC_2005_per_100k,HC_2006_per_100k,HC_2007_per_100k,HC_2008_per_100k,HC_2009_per_100k,HC_2010_per_100k,HC_2011_per_100k,HC_2012_per_100k,HC_2013_per_100k,HC_2014_per_100k,HC_2015_per_100k,HC_2016_per_100k,HC_2017_per_100k,HC_2018_per_100k,HC_2019_per_100k,HC_2020_per_100k,HC_2021_per_100k,HC_2022_per_100k,HC_2023_per_100k,HC_2024_per_100k
23,17047,Edwards,Illinois,6395,-88.0533,38.4165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63721657544957,0.0,0.0,0.0,0.0,0.0,0.0
24,17049,Effingham,Illinois,34008,-88.5899,39.0598,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.58339214302517,0.0,0.0,0.0,5.8809691837214775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,17051,Fayette,Illinois,21336,-89.0242,39.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.373828271466067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,17053,Ford,Illinois,12961,-88.2233,40.5972,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.715454054471105,0.0,7.715454054471105,0.0,7.715454054471105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715454054471105,0.0,0.0,0.0,0.0,0.0,0.0
27,17055,Franklin,Illinois,38469,-88.9242,37.9923,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,1,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,5.198991395669241,0.0,0.0,0.0,0.0,2.5994956978346204,0.0,5.198991395669241,2.5994956978346204,0.0,0.0,2.5994956978346204,2.5994956978346204,2.5994956978346204,0.0,2.5994956978346204,2.5994956978346204,0.0,0.0
28,17057,Fulton,Illinois,34340,-90.2075,40.4728,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.296447291788002,0.0,2.9120559114735003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9120559114735003,0.0,0.0,0.0,0.0,0.0,0.0
29,17059,Gallatin,Illinois,4828,-88.2305,37.7628,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,20.712510356255176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.712510356255176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,17061,Greene,Illinois,12969,-90.3905,39.3562,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7106947335954965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,17063,Grundy,Illinois,51054,-88.4185,41.2851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9587103850824619,0.0,0.0,0.0,1.9587103850824619,0.0,0.0,0.0,0.0
32,17065,Hamilton,Illinois,8116,-88.5391,38.0816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
