,Location,Cases_2017,Cases_2018,Cases_2019,Cases_2020,Cases_2021,Cases_2022,Cases_2023,Cases_2024
274,13257,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,13261,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
276,13283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,13309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
278,13313,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
279,15003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
280,16001,8.0,2.0,2.0,3.0,9.0,1.0,5.0,4.0
281,16003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
282,16005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
283,16011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
284,16027,2.0,2.0,1.0,0.0,2.0,2.0,7.0,1.0
285,16031,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
286,16039,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
287,16045,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
288,16047,2.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0
289,16055,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
290,16059,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
291,16063,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
292,16073,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0
293,16075,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
294,16081,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
295,16083,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
296,16085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297,16087,3.0,3.0,4.0,0.0,2.0,0.0,6.0,0.0
298,17001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
299,17005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
300,17007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,17015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,17019,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0
303,17027,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
304,17029,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
305,17031,52.0,104.0,14.0,34.0,35.0,18.0,62.0,33.0
306,17037,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
307,17041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,17043,6.0,18.0,6.0,4.0,12.0,4.0,16.0,9.0
309,17045,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
310,17047,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
311,17053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
312,17055,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
313,17057,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
314,17063,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
315,17077,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,17089,2.0,7.0,0.0,0.0,2.0,2.0,7.0,4.0
317,17091,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
318,17093,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
319,17095,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
320,17097,6.0,8.0,0.0,0.0,5.0,1.0,1.0,6.0
321,17099,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
322,17103,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
323,17111,4.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0
324,17113,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
325,17115,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
326,17117,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
327,17119,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0
328,17121,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
329,17123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330,17127,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
331,17141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
332,17143,1.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0
333,17157,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
334,17161,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
335,17163,1.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0
336,17167,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
337,17171,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
338,17177,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
339,17179,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
340,17183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
341,17195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
342,17197,1.0,4.0,0.0,1.0,4.0,0.0,4.0,2.0
343,17199,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
344,17201,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0
345,17203,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
346,18003,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
347,18005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348,18019,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
349,18021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
350,18023,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
351,18025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
352,18035,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
353,18037,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
354,18039,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
355,18043,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
356,18053,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
357,18055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,18057,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
359,18059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
360,18063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
361,18067,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
362,18069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
363,18073,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
364,18075,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,18079,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,18081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
367,18085,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
368,18089,3.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0
369,18091,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
370,18095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371,18097,2.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0
372,18099,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
