,County_1,FIPS,Population,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,LSTNight_2017,LSTDay_2017,Chlorophyll_2017,Ag_MEAN_2017,Fs_MEAN_2017,Rn_MEAN_2017,Cases_normalized_2017
33,Hancock,17067,17708,84.06104095,2.430544132,28.68719798,16.16496002,3.971736653,19.55,25.65,1.697939377,0.82,0.81,0.78,0.0
34,Hardin,17069,3821,93.13323194,2.15265737,29.27673652,17.26043208,3.287582522,20.1,26.2,1.756177833,0.78,0.82,0.82,0.0
35,Henderson,17071,6646,84.91944926,2.438220525,28.35969264,15.68120153,3.974899494,20.13,24.48,1.658975252,0.84,0.8,0.82,0.0
36,Henry,17073,48913,88.78605302,2.88911037,27.79919371,14.95635384,3.816385962,16.8,27.31,1.565552946,0.85,0.82,0.81,0.0
37,Iroquois,17075,27114,92.54691616,3.968137224,27.83495448,15.06662052,3.699161704,16.2,27.85,1.418115899,0.81,0.81,0.78,0.0
38,Jackson,17077,56750,91.1875009,2.451525495,29.73822904,17.36167812,2.947613444,20.61,26.68,1.700405642,0.78,0.82,0.68,3.453992815694943
39,Jasper,17079,9610,88.64401663,2.104955338,29.23317624,16.44616536,3.731234467,19.58,27.99,1.363817044,0.78,0.78,0.74,0.0
40,Jefferson,17081,37684,88.19129562,1.892787366,29.71355068,16.91698405,3.242663974,22.15,27.1,1.521175104,0.75,0.77,0.78,0.0
41,Jersey,17083,21773,87.18735756,2.033272529,29.5350335,16.77675024,3.63074209,20.03,26.6,1.658294122,0.78,0.82,0.76,0.0
42,Jo Daviess,17085,21235,93.74098007,3.567672546,26.46212926,13.75183314,3.709770473,17.82,24.0,1.49702995,0.81,0.8,0.77,0.0
43,Johnson,17087,12417,91.94352043,2.5630352,29.79984588,17.76280719,2.908352577,20.47,26.55,1.99457164,0.8,0.82,0.72,0.0
44,Kane,17089,532403,92.71253415,3.260181254,26.94002269,14.36694419,3.987093913,17.17,29.16,1.098059874,0.8,0.75,0.72,0.3757477379986172
45,Kankakee,17091,109862,92.28108564,3.261819412,27.57955984,15.01623123,3.584325488,17.15,27.6,1.337208813,0.8,0.79,0.76,1.8092998009770216
46,Kendall,17093,128990,91.14139814,2.857047307,27.51181351,14.82745291,3.668518147,15.85,27.32,1.295479137,0.81,0.78,0.8,0.0
47,Knox,17095,49699,88.43475979,2.484987953,27.9300567,14.81687706,3.975097306,17.37,26.6,1.695958545,0.84,0.82,0.67,0.0
48,Lake,17097,696535,91.96546784,4.422210053,25.88461361,14.77201599,4.159084157,17.24,25.5,59.34232677,0.72,0.73,0.75,0.8541229225239332
49,LaSalle,17099,108669,90.16670659,2.69552163,27.66995581,14.69495496,3.720457848,19.22,27.37,1.459513394,0.84,0.78,0.61,0.912225648136323
50,Lawrence,17101,15678,90.1668412,2.021095217,29.43589199,16.61421796,3.382775369,18.1,28.96,1.204407124,0.75,0.78,0.81,0.0
51,Lee,17103,34096,91.94147762,2.885476192,27.16800089,14.35002205,3.866197515,16.84,26.22,1.406590792,0.84,0.81,0.76,2.895193977996526
