County_1,FIPS,Population,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,LSTMean_2019,Chlorophyll_2019,Ag_MEAN_2019,Fs_MEAN_2019,Rn_MEAN_2019,Cases_normalized_2019
Macon,17115,104009,92.84281903,3.749334929,28.69138228,17.5638238,3.661922977,24.105,1.260966512,0.82,0.79,0.68,0.0
Macoupin,17117,44926,95.88347472,3.563976999,29.01988551,17.7495966,3.691424268,22.985,1.417635561,0.84,0.83,0.78,0.0
Madison,17119,262966,96.13973322,4.647945488,29.30211882,18.46532607,3.523268093,25.189999999999998,1.235577423,0.82,0.8,0.79,0.0
Marion,17121,37205,95.89529374,4.871257858,29.67302784,18.16956311,3.495686741,24.055,1.227800926,0.76,0.8,0.74,0.0
Marshall,17123,11438,93.4038007,4.190389556,27.92429939,16.68128969,3.636173237,22.605,1.238000556,0.83,0.8,0.78,0.0
Mason,17125,13359,94.24792121,3.381279696,28.72209642,17.22481735,3.764162747,23.479999999999997,1.317073198,0.77,0.76,0.81,0.0
Massac,17127,13772,97.6434137,2.97658473,30.38125961,18.92981915,2.921929787,24.36,1.277865341,0.75,0.79,0.79,7.261109497531223
Menard,17129,12196,93.82382126,3.59770804,28.74909374,17.44285814,3.787218948,23.295,1.505664842,0.82,0.81,0.78,0.0
Mercer,17131,15437,95.34621128,3.876112707,28.02526881,16.87219969,3.627457144,22.655,1.23992182,0.8,0.79,0.77,0.0
Monroe,17133,34637,94.6346718,3.419474305,29.86677001,19.01456711,3.169825825,24.205,1.414317999,0.75,0.8,0.76,0.0
Montgomery,17135,28414,95.78966361,3.851159143,29.1099635,17.53218575,3.706015051,22.94,1.458316549,0.83,0.83,0.8,0.0
Morgan,17137,33658,95.66308024,3.409927781,28.85262324,17.37306943,3.769285602,23.805,1.461168289,0.81,0.8,0.0,0.0
Moultrie,17139,14501,93.15514631,3.791662927,28.95406361,17.63264606,3.654383817,23.205,1.2845709,0.82,0.77,0.78,0.0
Ogle,17141,50643,95.30717931,4.972823871,26.82443466,15.61287468,3.825499466,21.475,1.327871705,0.83,0.82,0.74,0.0
Peoria,17143,179179,93.13392991,4.342197972,28.00375028,16.84511827,3.749908102,23.625,1.119035681,0.8,0.79,0.7,0.5581011167603347
Perry,17145,20916,95.8759482,2.740250704,29.91479976,18.54249572,2.984078108,24.355,1.212819723,0.74,0.77,0.79,0.0
Piatt,17147,16344,93.42933485,3.18386244,28.57150778,17.13883537,3.600648236,0.0,1.452969941,0.84,0.82,0.81,0.0
Pike,17149,15561,94.87664546,3.772171704,28.66837884,18.0554585,3.618390232,23.09,1.582925697,0.79,0.81,0.78,0.0
