County_1,FIPS,State,Population,X,Y,Ag_MEAN_2017,Ag_MEAN_2018,Ag_MEAN_2019,Ag_MEAN_2020,Ag_MEAN_2021,Ag_MEAN_2022,Ag_MEAN_2023,Ag_MEAN_2024,Fs_MEAN_2017,Fs_MEAN_2018,Fs_MEAN_2019,Fs_MEAN_2020,Fs_MEAN_2021,Fs_MEAN_2022,Fs_MEAN_2023,Fs_MEAN_2024,Rn_MEAN_2017,Rn_MEAN_2018,Rn_MEAN_2019,Rn_MEAN_2020,Rn_MEAN_2021,Rn_MEAN_2022,Rn_MEAN_2023,Rn_MEAN_2024
Hancock,17067,Illinois,17708,-91.1596,40.4021,0.82,0.74,0.81,0.76,0.81,0.81,0.81,0.81,0.81,0.79,0.8,0.79,0.82,0.8,0.8,0.81,0.78,0.79,0.81,0.76,0.8,0.8,0.82,0.8063
Hardin,17069,Illinois,3821,-88.2669,37.5182,0.78,0.79,0.78,0.77,0.78,0.8,0.81,0.79,0.82,0.83,0.84,0.83,0.83,0.84,0.85,0.84,0.82,0.76,0.78,0.76,0.8,0.79,0.78,0.7867
Henderson,17071,Illinois,6646,-90.9204,40.8181,0.84,0.75,0.82,0.76,0.81,0.83,0.83,0.82,0.8,0.76,0.78,0.76,0.8,0.81,0.81,0.81,0.82,0.75,0.75,0.75,0.82,0.82,0.82,0.819
Henry,17073,Illinois,48913,-90.1314,41.3531,0.85,0.74,0.78,0.75,0.81,0.85,0.83,0.83,0.82,0.77,0.77,0.77,0.8,0.83,0.8,0.81,0.81,0.77,0.77,0.77,0.78,0.81,0.78,0.7913
Iroquois,17075,Illinois,27114,-87.8243,40.7472,0.81,0.72,0.78,0.72,0.8,0.85,0.84,0.83,0.81,0.77,0.79,0.76,0.82,0.84,0.84,0.83,0.78,0.79,0.75,0.72,0.77,0.77,0.79,0.7772
Jackson,17077,Illinois,56750,-89.3812,37.7855,0.78,0.79,0.69,0.73,0.77,0.79,0.79,0.79,0.82,0.84,0.81,0.81,0.82,0.82,0.83,0.83,0.68,0.75,0.76,0.73,0.79,0.8,0.77,0.7884
Jasper,17079,Illinois,9610,-88.1538,39.01,0.78,0.76,0.78,0.73,0.77,0.84,0.82,0.81,0.78,0.8,0.8,0.77,0.79,0.83,0.81,0.81,0.74,0.78,0.82,0.77,0.84,0.78,0.78,0.7998
Jefferson,17081,Illinois,37684,-88.924,38.3005,0.75,0.8,0.75,0.73,0.79,0.8,0.8,0.8,0.77,0.81,0.78,0.76,0.81,0.81,0.81,0.81,0.78,0.75,0.77,0.75,0.76,0.85,0.74,0.7819
Jersey,17083,Illinois,21773,-90.3568,39.087,0.78,0.74,0.8,0.75,0.81,0.84,0.82,0.82,0.82,0.81,0.83,0.8,0.84,0.84,0.84,0.84,0.76,0.75,0.78,0.79,0.79,0.79,0.81,0.7961
Jo Daviess,17085,Illinois,21235,-90.2062,42.366,0.81,0.76,0.83,0.78,0.8,0.84,0.81,0.81,0.8,0.79,0.82,0.79,0.81,0.83,0.8,0.81,0.77,0.79,0.68,0.66,0.69,0.78,0.71,0.7268
Johnson,17087,Illinois,12417,-88.8809,37.4596,0.8,0.81,0.79,0.79,0.8,0.81,0.84,0.82,0.82,0.83,0.82,0.82,0.82,0.83,0.85,0.83,0.72,0.7,0.73,0.68,0.75,0.71,0.75,0.7372
Kane,17089,Illinois,532403,-88.4287,41.9389,0.8,0.72,0.76,0.73,0.77,0.81,0.8,0.8,0.75,0.74,0.75,0.72,0.76,0.78,0.77,0.77,0.72,0.68,0.74,0.69,0.74,0.7,0.74,0.7277
Kankakee,17091,Illinois,109862,-87.8618,41.1377,0.8,0.72,0.78,0.72,0.79,0.81,0.82,0.81,0.79,0.76,0.79,0.76,0.79,0.8,0.81,0.8,0.76,0.72,0.79,0.76,0.8,0.76,0.82,0.7931
