County_1,FIPS,State,Population,X,Y,Hum_17,Pre_17,Tmax_17,Tmin_17,WS_17,Hum_18,Pre_18,Tmax_18,Tmin_18,WS_18,Hum_19,Pre_19,Tmax_19,Tmin_19,WS_19,Hum_20,Pre_20,Tmax_20,Tmin_20,WS_20,Hum_21,Pre_21,Tmax_21,Tmin_21,WS_21,Hum_22,Pre_22,Tmax_22,Tmin_22,WS_22,Hum_23,Pre_23,Tmax_23,Tmin_23,WS_23,Hum_24,Pre_24,Tmax_24,Tmin_24,WS_24
Douglas,17041,Illinois,19465,-88.2174,39.7695,86.81304191,1.852270731,28.77467714,15.96559716,3.76857723,94.01989434,4.313557584,28.79755778,17.67698377,3.608212015,93.18933784,3.094822477,28.75801742,17.32572645,3.621071912,92.35059365,2.968156416,28.45254419,16.53913883,3.485208506,91.50993713,4.714098506,29.12702352,17.82267083,3.497600321,90.7022269,2.45497555,28.55031574,16.72521059,3.564860174,86.03788232,3.101232758,28.42183197,16.05379459,3.492675128,90.05876718,3.33165399,28.43163464,16.56300225,3.643362411
DuPage,17043,Illinois,922921,-88.0857,41.852,90.9315972,2.546450143,27.54555045,14.94493132,3.975308231,92.76471072,3.770662472,27.8522439,16.33184719,3.949273419,91.60291289,4.050651112,27.48354816,16.59863457,3.864537721,88.32557239,2.468563112,27.84374185,16.16754198,4.031417639,86.24170178,3.066994676,28.28318269,16.68878465,4.146696108,87.18915302,2.962281213,27.29893145,16.00639796,4.128193772,83.19324423,3.354603412,27.01961719,15.54703375,3.829279054,87.76658086,3.154797024,28.107528,16.03139469,3.941391812
Edgar,17045,Illinois,17161,-87.7456,39.6786,90.04908983,1.959279971,28.59923957,15.62568926,3.670773567,96.52189774,4.46803463,28.5686793,17.31105186,3.530608601,95.31694641,3.52868328,28.73195668,16.99944867,3.600924093,93.8892787,3.58247349,28.63560479,16.29141005,3.406841704,95.75958292,4.696130131,28.86041511,17.00601879,3.549505424,93.85432082,2.827914609,28.6579999,16.19695484,3.546570752,89.11617368,2.9444114,28.62425661,15.55275479,3.46507079,92.11423465,2.909384716,28.7983794,16.07091873,3.651389469
Edwards,17047,Illinois,6395,-88.0533,38.4165,89.2293945,2.231451154,30.02201531,17.09930698,3.384262606,94.27369261,4.882836902,30.41349055,18.99234184,3.196075098,96.80204304,4.039935174,30.2043547,18.32494393,3.244096483,95.86086447,2.976660576,29.33428507,17.57542905,3.084563815,95.88191543,5.209440009,29.698709,18.22251264,3.209717883,93.1796288,4.663632035,29.86707311,18.12236884,3.100542032,89.20596678,3.479644497,29.72687222,17.31882756,3.211438072,90.54826959,3.355653103,30.18638802,18.06880716,3.334702721
Effingham,17049,Illinois,34008,-88.5899,39.0598,87.57095305,1.855982724,29.76048206,16.28479885,3.836249061,94.3997157,5.564216933,29.61034821,18.18671842,3.679383637,95.64859335,3.872667035,29.55511432,17.69435943,3.723376501,94.91346333,3.107923452,28.71497772,16.81730956,3.534507726,95.22707759,3.966865966,29.13599306,17.57009922,3.585176895,92.7378252,5.538410698,28.95377729,17.21873739,3.603669069,86.75290753,2.424348178,29.22919373,16.47797706,3.638887804,91.41711895,3.315340474,29.35829846,16.96125888,3.820222935
Fayette,17051,Illinois,21336,-89.0242,39.0002,87.76039421,2.10820395,29.51408719,16.24979406,3.807028906,94.60109863,5.294783448,29.3844936,18.06838543,3.688022288,96.51529077,4.438913904,29.11583428,17.65097949,3.684890227,95.04736389,3.083690521,28.61551512,16.72513716,3.520937039,95.87526854,4.201496372,29.05008327,17.39347119,3.526055803,92.25449568,4.148205081,28.87368112,17.2697408,3.594133357,87.18777255,2.611281176,29.00499521,16.42306811,3.626622957,91.03258297,3.505951766,28.92975971,17.26791734,3.810479483
Ford,17053,Illinois,12961,-88.2233,40.5972,91.56700946,3.019090986,28.04316354,15.0800383,3.699378192,94.0619607,3.525825477,28.55330917,16.61671191,3.700249011,94.80547943,3.052761224,28.09258544,16.3228171,3.631926837,92.90159891,3.165805974,28.03492447,15.63830318,3.54163474,91.90368016,4.352512684,28.62568232,17.03300784,3.647856923,90.94076037,2.828647572,28.18169962,15.90089798,3.709765351,87.81061487,2.903435374,28.04868348,15.22416089,3.468130025,90.86135166,2.676736908,28.00029511,15.95027754,3.651499209
Franklin,17055,Illinois,38469,-88.9242,37.9923,88.83478629,1.999551657,29.74724713,17.52913954,2.912973216,94.07947196,4.139413461,30.00390867,19.1050443,2.860496224,96.58662239,2.371064588,30.04581971,18.50542373,2.875400391,94.66931769,2.853284537,29.19076976,18.20141875,2.741990958,95.73014202,4.086376468,29.69709476,18.35083225,2.791751494,92.6768663,2.906565104,30.01278326,18.00171668,2.77392588,89.00811908,3.33492105,30.19011445,17.89410168,2.879890389,92.08360244,3.607624183,30.066379,18.27649572,2.979144967
Fulton,17057,Illinois,34340,-90.2075,40.4728,86.76912803,2.231658906,28.43947894,15.43375781,3.998526997,91.63492012,4.194181299,28.56327891,16.96576424,4.00900181,95.3112107,3.823457889,28.18384822,17.03248792,3.787854294,93.94115333,2.957664692,27.97880952,15.98403695,3.822573405,94.25828151,3.050677355,28.50517602,16.70088659,3.633296505,90.73259168,2.590304241,28.0399159,16.04797309,3.840554544,86.1593279,2.81515401,28.33253754,15.46616216,3.633734873,91.0001228,3.616946375,28.45767409,16.05757318,3.835899534
Gallatin,17059,Illinois,4828,-88.2305,37.7628,91.9898042,2.388901266,29.68648289,17.50211416,3.088117197,95.11039559,3.751509131,30.24249425,19.19811114,3.015396978,97.74211947,3.239441441,30.15742724,18.21871571,3.013548487,96.99471354,4.345247853,28.96347375,17.62526357,2.881095984,96.64628831,3.617818349,29.528585,18.2025599,3.024230656,93.83368199,3.314767618,30.36191921,18.08746118,2.93366851,92.75839867,2.658922741,29.8277001,17.44791325,3.046437203,93.19556123,4.201973675,30.35837237,18.1517231,3.122933172
Greene,17061,Illinois,12969,-90.3905,39.3562,86.36003834,1.900444891,29.45662535,16.47525518,3.734151536,90.73775417,3.536891508,29.85277768,18.17302295,3.770474295,95.54249255,3.466428493,29.0524814,17.98119571,3.615838954,94.96145221,3.102566424,28.84349138,17.07673325,3.443906533,94.94947918,4.789604914,29.41673779,17.75804175,3.399554744,90.92762189,3.197241204,29.09563119,17.24128337,3.576048478,85.70887192,2.417433156,29.08369809,16.46463766,3.558043278,91.0962032,2.971710604,29.3414765,17.13485767,3.708982234
Grundy,17063,Illinois,51054,-88.4185,41.2851,91.19797153,2.703826546,27.73453748,14.86576357,3.588869808,92.21015711,3.098734082,28.27788959,16.30859368,3.601012976,93.30244061,5.462107218,27.66228502,16.44246863,3.459502834,90.51051257,3.110195643,28.06991111,15.85648006,3.481050409,89.05843728,3.389377479,28.31405399,16.72221807,3.593819209,89.94194234,2.533725108,27.54527727,15.41238499,3.633026085,86.85650114,3.06507025,27.39581356,14.89060505,3.411641441,88.78425669,2.875318658,28.46419699,15.90150968,3.533788908
Hamilton,17065,Illinois,8116,-88.5391,38.0816,90.26122136,2.284951925,29.83569902,17.17807355,3.181057311,94.26259463,4.146300876,30.16710023,18.96240928,3.071149542,96.69040573,3.034401874,30.06559514,18.35004651,3.076894709,95.67975112,3.289714547,29.20119461,17.76262574,2.953468023,96.191547,4.446885798,29.65519427,18.12556913,3.008737509,92.72865083,3.155201407,29.98860258,17.92336233,2.976554927,90.54129972,2.713666454,30.10092449,17.37927298,3.078128751,92.14728795,3.696467939,30.20578758,18.01673189,3.166398784
Hancock,17067,Illinois,17708,-91.1596,40.4021,84.06104095,2.430544132,28.68719798,16.16496002,3.971736653,87.24335161,4.381747727,28.99904246,17.75600572,3.920646903,94.63331602,4.225619393,28.30038935,17.83392395,3.671856701,92.32318628,3.357260801,27.89238965,16.90001364,3.720979309,93.06475459,3.640103183,28.63987059,17.68850102,3.53278637,86.06165151,3.050521496,28.34818944,17.12140047,3.76477894,81.4593117,2.476129506,28.50340071,16.49409025,3.577102971,88.44625846,2.934062245,28.47323695,16.75089105,3.747231254
Hardin,17069,Illinois,3821,-88.2669,37.5182,93.13323194,2.15265737,29.27673652,17.26043208,3.287582522,95.75627907,4.265693477,29.65245229,19.00793195,3.294873601,98.03774582,2.976231942,29.7605985,18.00402402,3.263074851,96.74107652,4.509621899,28.51873733,17.73963639,3.130040759,96.06218933,3.725392775,28.9867517,18.22230298,3.276088331,94.13379501,3.120713754,30.13720267,17.94914424,3.21097154,92.97200579,3.100477933,29.6036917,17.52218991,3.290817742,93.25580443,4.228044915,30.09882195,18.20360476,3.34411998
Henderson,17071,Illinois,6646,-90.9204,40.8181,84.91944926,2.438220525,28.35969264,15.68120153,3.974899494,89.36282884,3.700324832,28.57150242,17.23597914,3.889746351,94.50255674,3.943617756,28.05462706,17.38505065,3.696184141,92.68503879,2.999336021,27.86224711,16.27902032,3.783074925,93.83935568,3.818929313,28.4833383,17.12507212,3.577044704,86.99488608,2.558517382,27.91340906,16.55531474,3.833097403,83.67274649,3.060105715,28.0663789,16.09751445,3.559051205,90.45215349,3.147839661,28.18291031,16.15834348,3.724698696
Henry,17073,Illinois,48913,-90.1314,41.3531,88.78605302,2.88911037,27.79919371,14.95635384,3.816385962,91.84706885,4.565503392,28.01684223,16.47309397,3.754948215,94.47087065,4.501624088,27.7819482,16.61814133,3.625825159,91.94908925,3.708462667,27.73933442,15.6588737,3.718366956,91.81088582,3.39852582,28.48639312,16.6081075,3.575699028,89.23688767,3.521013416,27.3895213,15.91459846,3.740338426,83.70668284,3.057538278,27.82584195,15.54445744,3.547410434,90.17424351,3.128694715,28.12427011,15.8980646,3.682797302
Iroquois,17075,Illinois,27114,-87.8243,40.7472,92.54691616,3.968137224,27.83495448,15.06662052,3.699161704,93.18699751,3.454099874,28.44586867,16.5367651,3.73916445,94.05518729,3.583088986,28.08518274,16.31740894,3.63758452,92.18909492,3.120088603,28.0267728,15.59634108,3.572903283,91.63623656,3.926435093,28.45721417,16.75777018,3.692758707,91.12623484,2.934636989,27.95584175,15.6303219,3.751826777,87.81278138,3.080300913,27.76382973,14.95021788,3.487418665,90.10379118,2.761632855,28.12452311,15.89034889,3.675546423
